"","author_list","title","journal","year","language","language_comments","evidence_point_ID","country","country_comments","locality","coordinates_N","coordinates_E","year_start","year_end","elevation","elevation_DEM","study_design","study_design_comments","experimental_design","study_method","study_method_comments","exposure_quantification","exposure_quantification_comments","additional_exposures","additional_treatments_comments","extent_of_spatial_scale","spatial_resolution_recorded","spatial_resolution_reported","extent_of_temporal_scale","temporal_resolution","redundancy","biological_organization_level_recorded","biological_organization_recorded_comments","biological_organization_level_reported","biological_organization_reported_comments","identity_of_biological_organization_unit","management_plant","conservation_plant","conservation_plant_comments","measured_response_variable","measured_response_comments","herbivore_identity","herbivore_type","herbivore_type_comments","herbivory_season","herbivory_season_comment","effect_type","effect_type_comments","management_herbivore","management_herbivore_comments","conservation_herbivore","conservation_herbivore_comments","management","management_area","conservation_study_area","conservation_study_area_comment","temperature","temperature_measure","precipitation","precipitation_measure","distance_from_coast","soil_type.","productivity_P","habitat_type_P","disturbance","disturbance_comment","food_web_context_other_herbivores","food_web_context_predators","conservation_focus","comment","coding.person","coding.checked","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19","north_of_treeline","ArcticHerbivore_Species.richness","ArcticHerbivore_Phylogenetic.diversity","ArcticHerbivore_Functional.diversity","GPW","Footprint","Current.NDVI","CurrentGrowingSeasonLength","NDVI.trend","GrowingSeasonLength.trend","Temperature.anomaly","coords.x1","coords.x2","optional"
"138","Ruuhola, Salminen, Salminen, Ossipov","Ellagitannins: defences of Betula nana against Epirrita autumnata folivory?","Agricultural and Forest Entomology",2013,"english",NA,"921_a","Finland",NA,"Kevo",69.75,27,"not reported","not reported","not reported",80,"experimental",NA,"control-impact","field",NA,"enclosure","mesh bags using caterpillars of Epirrita autumnata","none",NA,"not reported","not reported","not reported","1","once","not redundant","individual",NA,"population/species",NA,"Betula_nana","not reported","not reported",NA,"physiological response","defensive chemistry","Epirrita_autumnata","defoliating invertebrates",NA,"spring",NA,"removal of plant parts",NA,"non-managed",NA,"not reported",NA,"not reported","not reported","not reported",NA,"not reported","not reported","not reported","not reported",48.0526601733813,"P","not reported","not reported","not reported",NA,"not reported","not reported","not reported",NA,"Isabel C Barrio","Eeva Soininen",-9,83,25,8344,160,-168,328,102,-76,102,-113,409,67,18,43,167,57,167,68,-106.063525326086,0.202898550724638,0.409832105676728,0.876099923582508,0.495027725002891,2.84415411241796,55.4731236621806,102.59028047445,0.0989958412035874,0.0680402979738589,1.1728071652031,27,69.75,TRUE
"139","Soininen, Bråthen, Jusdado, Reidinger, Hartley","More than herbivory: levels of silica-based defences in grasses vary with plant species, genotype and location","Oikos",2013,"english",NA,"929_b","Norway",NA,"Vestre Jakobselv",70,28.5,"2006","2008","110_360",180,"experimental",NA,"control-impact","field",NA,"exclosure","also taking into account a small rodent outbreak","none",NA,"from 1x1 km to 10x10 km","up to  1x1 m (including 1x1 m)","up to  1x1 m (including 1x1 m)","3","once","not redundant","individual",NA,"population/species",NA,"Avenella_flexuosa, Anthoxhantum_nipponicum, Calamagrostis_phragmitoides, Deschampsia_cespitosa, Phleum_alpinum, Festuca_rubra, Nardus_stricta, Phleum_alpinum","not reported","not reported",NA,"physiological response","levels of SiO2","Rangifer_tarandus, Microtus_oeconomus, Lemmus_lemmus, Myodes_rufocanus","several","small rodents and pikas, other vertebrates","summer",NA,"not reported","grazing as a whole :)","not reported",NA,"not reported",NA,"not reported","not reported","not reported",NA,"not reported","not reported","not reported","not reported",29.3654865269433,"P","productive_meadows","meadows","not reported",NA,"documented by referring to another study","not reported","not reported","Habitat: meadows (meadow  vegetation  consists  of  forbs  (e.g.    Trollius  europaeus ,   Bistorta vivipara ,     Viola      spp.),   vascular   cryptogams   (mainly      Equisetum    spp.),  deciduous  shrubs  (mainly    Salix    spp.), sedges and rushes (e.g.  Carex bigelowii ,   Carex aquatilis   coll.,  Juncus  filiformis  ),  and  mosses.)","Isabel C Barrio","Eeva Soininen",1,70,26,6694,140,-127,267,86,-58,91,-79,466,65,24,34,175,76,170,89,-74.2231801248107,0.202898550724638,0.415058223124856,0.878117379795464,2.12330236471888,5.01469890043891,51.0592127955832,96.4523838372717,-0.0405413714380748,-0.152185143474254,1.1728071652031,28.5,70,TRUE
"140","Väisanen, Martz, Kaarlejärvi, Julkunen-Tiitto, Stark","Phenolic Responses of Mountain Crowberry (Empetrum nigrum ssp hermaphroditum) to Global Climate Change are Compound Specific and Depend on Grazing by Reindeer (Rangifer tarandus)","Journal of Chemical Ecology",2013,"english",NA,"941_a","Norway",NA,"Raisduoddar",69.65,27.5,"2010","2011","not reported",298,"quasi-experimental",NA,"not relevant","field",NA,"fence","fence separating two grazing intensities","several","warming, fertilization","not reported","up to  1x1 m (including 1x1 m)","up to  1x1 m (including 1x1 m)","2","irregular with intervals shorter than a year","not redundant","population/species",NA,"population/species",NA,"Empetrum_nigrum","not reported","not reported",NA,"physiological response","phenolic content","Rangifer_tarandus","other vertebrates",NA,"several","summer, spring, autumn","several","removal of plant parts, disturbance","not reported",NA,"not reported",NA,"managed herbivore","historical and current","not reported",NA,"09.mai","growing_season_ground_surface_mean","not reported","not reported",88.6075049814061,"P","mesic","Arctic_Empetrum-Dicranum-Lichen_heath","not reported",NA,"not reported","not reported","not reported","experimental design (manipulating warming and fertilization) on the two sides of the fence (high vs low grazing pressure). Herbivory season: high and low intensity of grazing at each side of the fence: in the high intensity reindeer are present in late summer, in the low intensity reindeer migrate through the area in spring/autumn. Temperature: average ground surface temperature during the growing season (5 Jul- 8 Aug)","Isabel C Barrio","Eeva Soininen",-15,80,25,8009,149,-167,316,92,-81,92,-114,447,70,21,41,179,67,179,76,-162.853977120514,0.202898550724638,0.415058223124856,0.878117379795464,0.495027725002891,2.84415411241796,55.5291642131286,100.234191510698,0.226019536044675,0.0611660278814125,1.1728071652031,27.5,69.65,TRUE
"141","Zamin, Grogan","Caribou exclusion during a population low increases deciduous and evergreen shrub species biomass and nitrogen pools in low Arctic tundra","Journal of Ecology",2013,"english",NA,"949_a","Canada",NA,"Daring Lake",64.86666667,-111.55,"2004","2009","not reported",475,"experimental",NA,"control-impact","field",NA,"exclosure",NA,"none",NA,"from 1x1 km to 10x10 km","up to  1x1 m (including 1x1 m)","up to  1x1 m (including 1x1 m)","6","once","not redundant","population/species",NA,"population/species",NA,"shrubs","not reported","not reported",NA,"several","biomass, physiological response","Rangifer_tarandus","other vertebrates",NA,"summer",NA,"not reported",NA,"non-managed",NA,"other","declining populations","not reported","not reported","not reported",NA,"-39, 20","annual_minimum_January, annual_maximum_July","142","annual_mean",208.300401357404,"R","not reported","mesic_birch_hummock_tundra","not reported",NA,"mentioned","not reported","not reported","Shrubs include Betula glandulosa, Vaccinium vitis-idaea, Rhododendron subarcticum. Responses: biomass and physiological response (plant N pools). Habitat: mesic birch hummock tundra (erect dwarf shrub tundra).","Isabel C Barrio","Eeva Soininen",-110,86,16,15070,154,-355,509,72,-291,83,-295,259,42,10,48,110,34,104,37,102.355159126225,0.221341987360801,0.456294323184978,0.895240508444449,0,8.66793084804719e-05,51.3154450307542,104.813191278567,0.164532722410757,0.034900382540932,7.05826869459819,-111.55,64.86666667,TRUE
"142","Cahoon, Sullivan, Post, Welker","Large herbivores limit CO2 uptake and suppress carbon cycle responses to warming in West Greenland","Global Change Biology",2012,"english",NA,"1009_a","Greenland",NA,"Kangerlussuaq",67.11,-50.37,"2003","2010","280",321,"experimental",NA,"control-impact","field",NA,"exclosure",NA,"warming",NA,"from 1x1 km to 10x10 km","up to  1x1 m (including 1x1 m)","from 100x100 m to 1000x1000 m (including 1000x1000m)","8","irregular with intervals shorter than a year","not redundant","community",NA,"community",NA,"not relevant","not relevant","not relevant",NA,"several","cover, morphological measure","Ovibos_moschatus, Rangifer_tarandus","other vertebrates",NA,"several","summer, year-round","not reported",NA,"not reported",NA,"not reported",NA,"not reported","not reported","not reported",NA,"9.3449999999999989","annual_mean","18","summer_mean",53.3191272352942,"R","not reported","shrub_tundra, graminoid_tundra","not reported",NA,"not reported","not reported","not reported","location: western coast of Greenland and northeast of Søndrestrøm Fjord near the town of Kangerlussuaq. 2 main herbivores: caribou summer.. muskoxen year round. More details on climate variables: temperature: 4.5-13.86 in 2018 and 3.45-13.37 in 2019.. mean 9.68 in 2008 and 9.01 in 2019.. precipitation: 23mm in 2008 and 13mm in 2019 during june 11-August 15 in 2008 and 2009. Here I have taken the average of the mean values for the two years reported to calculate a mean. Identity of biological organization unit is set to not relevant here because they measure at the community level, but do not specify which community (other than the general habitat description). For measurements they report LAI (morphological measure) and cover (percent cover of shrubs)","Jen Forbey","Isabel C Barrio",-53,80,22,9867,137,-212,349,61,-138,78,-167,268,33,12,32,95,43,86,47,NA,0.072463768115942,0.259922814778863,0.631148937169793,0.0695921682500632,5.40718406583946,NA,NA,NA,NA,1.48061379861229,-50.37,67.11,TRUE
"143","Eskelinen, Harrison, Tuomi","Plant traits mediate consumer and nutrient control on plant community productivity and diversity","Ecology",2012,"english",NA,"1022_a","Finland",NA,"Saana",69.05,20.83333333,"2004","2010","720_800",794,"experimental",NA,"control-impact","field",NA,"exclosure",NA,"nutrient manipulation",NA,"1x1 km or less","up to  1x1 m (including 1x1 m)","up to  1x1 m (including 1x1 m)","7","twice, interval longer than one year","not redundant","community",NA,"community",NA,"not relevant","not reported","not reported",NA,"several","biomass, diversity, morphological measure, physiological response, litter_depth","Rangifer_tarandus, Clethrionomys_rufocanus, Lepus_timidus","several","other vertebrates, small rodents and pikas","not reported",NA,"removal of plant parts",NA,"several","semi-domesticated, non-managed","no concern",NA,"managed herbivore","historical and current","not reported",NA,"not reported","not reported","not reported","not reported",84.9478979134778,"W","fertile","Dryas_heath","other herbivory",NA,"not reported","not reported","not reported","Experimental design (grazing*fertilization) repeated in two habitats (fertile vs. less productive). Results are (mainly) reported separately for these two habitats, so they should be considered two separate evidence points. For the RESPONSES they measured: biomass, diversity, morphological measure (SLA), physiological response (tannings and CN on leaves), and litter_depth (which is other so I am specifying it in the comments box, together with the other measures. They measured at the community level (community-weighted averages), so identity of biological unit is set to not relevant, but Bernice extracted species list: Betula pubescens ssp. Czerepanowii, Carex bigelowii and C. vaginata, Equisetum arvense and E. pratense, Equisetum scirpoides and E. Variegatum, Empetrum nigrum ssp. hermaphroditum, Vaccinium sp., Betula nana, Calamagrostis lapponica, Festuca ovina, Bistorta vivipara, Pedicularis lapponica, Astragalus frigidus, Dryas octopetala, Saussurea alpina, Saxifraga oppositifolia, Silene acaulis, Thalictrum alpinum, Cassiope tetragona, Rhododendron lapponicum, Salix reticulata, Carex rupestris, Carex vaginata","Bernice Hwang","Isabel C Barrio",-32,74,23,8384,138,-181,319,82,-95,82,-134,515,77,25,32,183,82,183,123,-254.460043379165,0.213814742406229,0.414977606767862,0.881000619057153,1.48760217669174,6.09170622363754,80.8777864765079,110.947496266977,0.396910182584289,0.288814599444236,1.1728071652031,20.83333333,69.05,TRUE
"144","Eskelinen, Harrison, Tuomi","Plant traits mediate consumer and nutrient control on plant community productivity and diversity","Ecology",2012,"english",NA,"1022_b","Finland",NA,"Saana",69.05,20.83333333,"2004","2010","720_800",794,"experimental",NA,"control-impact","field",NA,"exclosure",NA,"nutrient manipulation",NA,"1x1 km or less","up to  1x1 m (including 1x1 m)","up to  1x1 m (including 1x1 m)","7","twice, interval longer than one year","not redundant","community",NA,"community",NA,"not relevant","not reported","not reported",NA,"several","biomass, diversity, morphological measure, physiological response, litter_depth","Rangifer_tarandus, Clethrionomys_rufocanus, Lepus_timidus","several","other vertebrates, small rodents and pikas","not reported",NA,"removal of plant parts",NA,"several","semi-domesticated, non-managed","no concern",NA,"managed herbivore","historical and current","not reported",NA,"not reported","not reported","not reported","not reported",84.9478979134778,"W","infertile","Empetrum_heath","other herbivory",NA,"not reported","not reported","not reported","Experimental design (grazing*fertilization) repeated in two habitats (fertile vs. less productive). Results are (mainly) reported separately for these two habitats, so they should be considered two separate evidence points. For the RESPONSES they measured: biomass, diversity, morphological measure (SLA), physiological response (tannings and CN on leaves), and litter_depth (which is other so I am specifying it in the comments box, together with the other measures. They measured at the community level (community-weighted averages), so identity of biological unit is set to not relevant, but Bernice extracted species list: Betula pubescens ssp. Czerepanowii, Carex bigelowii and C. vaginata, Equisetum arvense and E. pratense, Equisetum scirpoides and E. Variegatum, Empetrum nigrum ssp. hermaphroditum, Vaccinium sp., Betula nana, Calamagrostis lapponica, Festuca ovina, Bistorta vivipara, Pedicularis lapponica, Astragalus frigidus, Dryas octopetala, Saussurea alpina, Saxifraga oppositifolia, Silene acaulis, Thalictrum alpinum, Cassiope tetragona, Rhododendron lapponicum, Salix reticulata, Carex rupestris, Carex vaginata","Bernice Hwang","Isabel C Barrio",-32,74,23,8384,138,-181,319,82,-95,82,-134,515,77,25,32,183,82,183,123,-254.460043379165,0.213814742406229,0.414977606767862,0.881000619057153,1.48760217669174,6.09170622363754,80.8777864765079,110.947496266977,0.396910182584289,0.288814599444236,1.1728071652031,20.83333333,69.05,TRUE
"145","Olofsson, Tommervik, Callaghan","Vole and lemming activity observed from space","Nature Climate Change",2012,"english",NA,"1059_a","Sweden",NA,"Abisko",68.35,18.83,"2000","2011","not reported",350,"observational",NA,"not relevant","remote sensing",NA,"herbivore outbreak",NA,"none",NA,"from 10x10 km to 100x100 km","from 10x10 m to 100x100 m (including 100x100 m)","from 10x10 m to 100x100 m (including 100x100 m)","12","annual","not redundant","other","remote_sensing","other","remote_sensing","regional","not reported","not reported",NA,"NDVI or other vegetation indices",NA,"voles, lemmings","small rodents and pikas",NA,"not reported",NA,"removal of plant parts",NA,"non-managed",NA,"not reported",NA,"not reported","not reported","not reported",NA,"-1.25","annual_mean","576","annual_mean",42.4838561640074,"I","not reported","open_heathland","not reported",NA,"not reported","not reported","not reported","In the study they also present biomass data for community and certain species, but they pool together data from forest and heathlands. Therefore, I only keep the NDVI part, where they looked at areas (20km2) dominated by open heathland, and recovery after peak in rodent numbers","Amanda Koltz and Isabel C Barrio","Isabel C Barrio",0,69,24,7350,154,-128,282,89,-56,100,-89,395,60,16,41,158,57,146,81,-385.569390093602,0.217246296957445,0.41505885077107,0.881045298604862,2.67364705187755,2.61493547519835,94.2381873684714,127.15876363894,0.252573914017186,0.0897008841927475,1.28289531052881,18.83,68.35,TRUE
"146","Champagne, Tremblay, Cote","Tolerance of an Expanding Subarctic Shrub, Betula glandulosa, to Simulated Caribou Browsing","PLoS ONE",2012,"english",NA,"1010_a","Canada",NA,"Deception Bay",62.05,-74.41,"2009","2010","not reported",322,"experimental",NA,"control-impact","field",NA,"simulated herbivory",NA,"nutrient manipulation",NA,"1x1 km or less","up to  1x1 m (including 1x1 m)","not reported","2","twice, interval one year or shorter","partly redundant","population/species",NA,"population/species",NA,"Betula_glandulosa","not reported","not reported",NA,"several","biomass, morphological measure","Rangifer_tarandus","other vertebrates",NA,"summer",NA,"removal of plant parts",NA,"other",NA,"other","declining","not reported","not reported","not reported",NA,"9.3000000000000007","warmest_month_mean","184.7","summer_mean",29.2827926950647,"I","low_productivity_sites","erect_dwarf_shrub_tundra","other","drought","not reported","not reported","mentioned","Location: Deception bay, Nunavik, Quebec, Canada. Response variables are biomass (leaf biomass) and morphological measure (shoot length). Management herbivore not mentioned, but they are hunted by the native inuits","Jeppe Å. Kristensen","Isabel C Barrio",-87,65,16,11489,108,-291,399,50,-239,51,-239,378,57,16,41,147,50,130,50,348.645174736127,0.0970897794786101,0.341056129156197,0.78284741840048,0.0546943716127551,0.824349278809808,40.3145726984457,110.465856887129,0.260962420109909,0.0938102120051047,7.80629360688929,-74.41,62.05,TRUE
"147","Huttunen,  Niemela,  Ossipov,  Rousi, Klemola","Do warmer growing seasons ameliorate the recovery of mountain birches after winter moth outbreak?","Trees",2012,"english",NA,"1036_a","Finland",NA,"Kevo",69.755,27.00277778,"2009","2009","120",80,"quasi-experimental",NA,"control-impact","field",NA,"herbivore outbreak",NA,"none",NA,"from 100x100 km to 1000x1000 km","not reported","not reported","1","once","not redundant","population/species",NA,"population/species",NA,"Betula_pubescens_czerepanovii",NA,"not reported",NA,"several","physiological response, morphological measure","Operophtera_brumata","defoliating invertebrates",NA,"summer",NA,"removal of plant parts",NA,"non-managed",NA,"not reported",NA,"not reported","not reported","not reported",NA,"526.9","degree_days","not reported","not reported",48.0526601733813,"P","not reported","mountain_birch_forest","not reported",NA,"not reported","not reported","not reported","habitat is forest, but they study isolated trees separated at least 10 m so it must be open forest :) For response variables they measure morphological (number of leaf-bearing short shoots, height growth  of long shoots), reproduction/recruitment (emergence of inflorescences) and physiological response (concentrations of C and N in leaves and CH in roots). They mesure trees at 12 sites (in Utsjoki (FI) and Tana (NO), within 80 km of Kevo Subarctic Research Station), 6 defoliated and 6 control, to relate tree responses to temperature at each site, so different environmental context -- I keep the 12 sites separately here","Jeppe Å. Kristensen","Isabel C Barrio",-9,83,25,8277,159,-167,326,101,-76,101,-112,410,67,18,43,167,58,167,68,-106.063525326086,0.202898550724638,0.409832105676728,0.876099923582508,0.495027725002891,2.84415411241796,55.45092577092,102.667271382665,0.0875967893511954,0.061478446236424,1.1728071652031,27.00277778,69.755,TRUE
"148","Huttunen,  Niemela,  Ossipov,  Rousi, Klemola","Do warmer growing seasons ameliorate the recovery of mountain birches after winter moth outbreak?","Trees",2012,"english",NA,"1036_b","Norway",NA,"Vetsikko",70.08527778,27.43722222,"2009","2009","82",150,"quasi-experimental",NA,"control-impact","field",NA,"herbivore outbreak",NA,"none",NA,"from 100x100 km to 1000x1000 km","not reported","not reported","1","once","not redundant","population/species",NA,"population/species",NA,"Betula_pubescens_czerepanovii",NA,"not reported",NA,"several","physiological response, morphological measure","Operophtera_brumata","defoliating invertebrates",NA,"summer",NA,"removal of plant parts",NA,"non-managed",NA,"not reported",NA,"not reported","not reported","not reported",NA,"489.8","degree_days","not reported","not reported",48.0526601733813,"P","not reported","mountain_birch_forest","not reported",NA,"not reported","not reported","not reported","habitat is forest, but they study isolated trees separated at least 10 m so it must be open forest :) For response variables they measure morphological (number of leaf-bearing short shoots, height growth  of long shoots), reproduction/recruitment (emergence of inflorescences) and physiological response (concentrations of C and N in leaves and CH in roots). They mesure trees at 12 sites (in Utsjoki (FI) and Tana (NO), within 80 km of Kevo Subarctic Research Station), 6 defoliated and 6 control, to relate tree responses to temperature at each site, so different environmental context -- I keep the 12 sites separately here","Jeppe Å. Kristensen","Isabel C Barrio",-5,78,26,7296,147,-146,293,86,-67,93,-93,436,67,22,37,169,68,167,79,-106.063525326086,0.202898550724638,0.409832105676728,0.876099923582508,0.495027725002891,2.84415411241796,53.9550178214071,92.8467949222192,0.175618262568181,0.105285934453991,1.1728071652031,27.43722222,70.08527778,TRUE
"149","Huttunen,  Niemela,  Ossipov,  Rousi, Klemola","Do warmer growing seasons ameliorate the recovery of mountain birches after winter moth outbreak?","Trees",2012,"english",NA,"1036_c","Finland",NA,"Pulmankijärvi",70.00333333,27.96694444,"2009","2009","50",14,"quasi-experimental",NA,"control-impact","field",NA,"herbivore outbreak",NA,"none",NA,"from 100x100 km to 1000x1000 km","not reported","not reported","1","once","not redundant","population/species",NA,"population/species",NA,"Betula_pubescens_czerepanovii",NA,"not reported",NA,"several","physiological response, morphological measure","Operophtera_brumata","defoliating invertebrates",NA,"summer",NA,"removal of plant parts",NA,"non-managed",NA,"not reported",NA,"not reported","not reported","not reported",NA,"484.7","degree_days","not reported","not reported",29.3654865269433,"P","not reported","mountain_birch_forest","not reported",NA,"not reported","not reported","not reported","habitat is forest, but they study isolated trees separated at least 10 m so it must be open forest :) For response variables they measure morphological (number of leaf-bearing short shoots, height growth  of long shoots), reproduction/recruitment (emergence of inflorescences) and physiological response (concentrations of C and N in leaves and CH in roots). They mesure trees at 12 sites (in Utsjoki (FI) and Tana (NO), within 80 km of Kevo Subarctic Research Station), 6 defoliated and 6 control, to relate tree responses to temperature at each site, so different environmental context -- I keep the 12 sites separately here","Jeppe Å. Kristensen","Isabel C Barrio",5,74,26,6933,149,-129,278,93,-55,98,-78,430,63,22,37,166,67,162,79,-74.2231801248107,0.202898550724638,0.415058223124856,0.878117379795464,0.495027725002891,2.84415411241796,51.0592127955832,96.4523838372717,-0.0405413714380748,-0.152185143474254,1.1728071652031,27.96694444,70.00333333,TRUE
"150","Huttunen,  Niemela,  Ossipov,  Rousi, Klemola","Do warmer growing seasons ameliorate the recovery of mountain birches after winter moth outbreak?","Trees",2012,"english",NA,"1036_d","Finland",NA,"Mieraslompolo",69.6094444,27.2425,"2009","2009","260",266,"quasi-experimental",NA,"control-impact","field",NA,"herbivore outbreak",NA,"none",NA,"from 100x100 km to 1000x1000 km","not reported","not reported","1","once","not redundant","population/species",NA,"population/species",NA,"Betula_pubescens_czerepanovii",NA,"not reported",NA,"several","physiological response, morphological measure","Operophtera_brumata","defoliating invertebrates",NA,"summer",NA,"removal of plant parts",NA,"non-managed",NA,"not reported",NA,"not reported","not reported","not reported",NA,"478","degree_days","not reported","not reported",88.6075049814061,"P","not reported","mountain_birch_forest","not reported",NA,"not reported","not reported","not reported","habitat is forest, but they study isolated trees separated at least 10 m so it must be open forest :) For response variables they measure morphological (number of leaf-bearing short shoots, height growth  of long shoots), reproduction/recruitment (emergence of inflorescences) and physiological response (concentrations of C and N in leaves and CH in roots). They mesure trees at 12 sites (in Utsjoki (FI) and Tana (NO), within 80 km of Kevo Subarctic Research Station), 6 defoliated and 6 control, to relate tree responses to temperature at each site, so different environmental context -- I keep the 12 sites separately here","Jeppe Å. Kristensen","Isabel C Barrio",-12,83,25,8349,157,-170,327,99,-79,99,-116,419,68,18,44,171,59,171,69,-162.853977120514,0.202898550724638,0.409832105676728,0.876099923582508,0.495027725002891,2.84415411241796,55.4561009189779,97.8706669147148,0.201795449073952,0.0803128178768533,1.1728071652031,27.2425,69.6094444,TRUE
"151","Huttunen,  Niemela,  Ossipov,  Rousi, Klemola","Do warmer growing seasons ameliorate the recovery of mountain birches after winter moth outbreak?","Trees",2012,"english",NA,"1036_e","Finland",NA,"Mieraslompolo",69.60527778,27.23694444,"2009","2009","255",260,"quasi-experimental",NA,"control-impact","field",NA,"herbivore outbreak",NA,"none",NA,"from 100x100 km to 1000x1000 km","not reported","not reported","1","once","not redundant","population/species",NA,"population/species",NA,"Betula_pubescens_czerepanovii",NA,"not reported",NA,"several","physiological response, morphological measure","Operophtera_brumata","defoliating invertebrates",NA,"summer",NA,"removal of plant parts",NA,"non-managed",NA,"not reported",NA,"not reported","not reported","not reported",NA,"477.8","degree_days","not reported","not reported",88.6075049814061,"P","not reported","mountain_birch_forest","not reported",NA,"not reported","not reported","not reported","habitat is forest, but they study isolated trees separated at least 10 m so it must be open forest :) For response variables they measure morphological (number of leaf-bearing short shoots, height growth  of long shoots), reproduction/recruitment (emergence of inflorescences) and physiological response (concentrations of C and N in leaves and CH in roots). They mesure trees at 12 sites (in Utsjoki (FI) and Tana (NO), within 80 km of Kevo Subarctic Research Station), 6 defoliated and 6 control, to relate tree responses to temperature at each site, so different environmental context -- I keep the 12 sites separately here","Jeppe Å. Kristensen","Isabel C Barrio",-12,83,25,8349,157,-170,327,99,-79,99,-116,419,68,18,44,171,59,171,69,-162.853977120514,0.202898550724638,0.409832105676728,0.876099923582508,0.495027725002891,2.84415411241796,55.3005758308229,97.1429136879751,0.19305800659133,0.0850845608594586,1.1728071652031,27.23694444,69.60527778,TRUE
"152","Huttunen,  Niemela,  Ossipov,  Rousi, Klemola","Do warmer growing seasons ameliorate the recovery of mountain birches after winter moth outbreak?","Trees",2012,"english",NA,"1036_f","Norway",NA,"Sirma",70.02583333,27.50055556,"2009","2009","80",68,"quasi-experimental",NA,"control-impact","field",NA,"herbivore outbreak",NA,"none",NA,"from 100x100 km to 1000x1000 km","not reported","not reported","1","once","not redundant","population/species",NA,"population/species",NA,"Betula_pubescens_czerepanovii",NA,"not reported",NA,"several","physiological response, morphological measure","Operophtera_brumata","defoliating invertebrates",NA,"summer",NA,"removal of plant parts",NA,"non-managed",NA,"not reported",NA,"not reported","not reported","not reported",NA,"475.9","degree_days","not reported","not reported",48.0526601733813,"P","not reported","mountain_birch_forest","not reported",NA,"not reported","not reported","not reported","habitat is forest, but they study isolated trees separated at least 10 m so it must be open forest :) For response variables they measure morphological (number of leaf-bearing short shoots, height growth  of long shoots), reproduction/recruitment (emergence of inflorescences) and physiological response (concentrations of C and N in leaves and CH in roots). They mesure trees at 12 sites (in Utsjoki (FI) and Tana (NO), within 80 km of Kevo Subarctic Research Station), 6 defoliated and 6 control, to relate tree responses to temperature at each site, so different environmental context -- I keep the 12 sites separately here","Jeppe Å. Kristensen","Isabel C Barrio",-2,78,26,7344,150,-144,294,90,-64,96,-91,429,65,21,38,167,65,165,77,-106.063525326086,0.202898550724638,0.415058223124856,0.878117379795464,0.495027725002891,2.84415411241796,51.021582683887,94.2505791871136,0.129856292194208,0.024867546679985,1.1728071652031,27.50055556,70.02583333,TRUE
"153","Huttunen,  Niemela,  Ossipov,  Rousi, Klemola","Do warmer growing seasons ameliorate the recovery of mountain birches after winter moth outbreak?","Trees",2012,"english",NA,"1036_g","Norway",NA,"Boratbokca",70.0675,27.73583333,"2009","2009","52",80,"quasi-experimental",NA,"control-impact","field",NA,"herbivore outbreak",NA,"none",NA,"from 100x100 km to 1000x1000 km","not reported","not reported","1","once","not redundant","population/species",NA,"population/species",NA,"Betula_pubescens_czerepanovii",NA,"not reported",NA,"several","physiological response, morphological measure","Operophtera_brumata","defoliating invertebrates",NA,"summer",NA,"removal of plant parts",NA,"non-managed",NA,"not reported",NA,"not reported","not reported","not reported",NA,"471.6","degree_days","not reported","not reported",29.3654865269433,"P","not reported","mountain_birch_forest","not reported",NA,"not reported","not reported","not reported","habitat is forest, but they study isolated trees separated at least 10 m so it must be open forest :) For response variables they measure morphological (number of leaf-bearing short shoots, height growth  of long shoots), reproduction/recruitment (emergence of inflorescences) and physiological response (concentrations of C and N in leaves and CH in roots). They mesure trees at 12 sites (in Utsjoki (FI) and Tana (NO), within 80 km of Kevo Subarctic Research Station), 6 defoliated and 6 control, to relate tree responses to temperature at each site, so different environmental context -- I keep the 12 sites separately here","Jeppe Å. Kristensen","Isabel C Barrio",1,76,26,7070,148,-136,284,90,-60,96,-84,432,64,22,36,167,67,163,79,-74.2231801248107,0.202898550724638,0.415058223124856,0.878117379795464,0.495027725002891,2.84415411241796,53.1022939781321,92.5865439698942,0.174929334724446,0.0950841173502721,1.1728071652031,27.73583333,70.0675,TRUE
