"author_list";"title";"journal";"year";"language";"language_comments";"evidence_point_ID";"country";"country_comments";"locality";"coordinates_N";"coordinates_E";"year_start";"year_end";"elevation";"elevation_DEM";"study_design";"study_design_comments";"experimental_design";"study_method";"study_method_comments";"exposure_quantification";"exposure_quantification_comments";"additional_exposures";"additional_treatments_comments";"extent_of_spatial_scale";"spatial_resolution_recorded";"spatial_resolution_reported";"extent_of_temporal_scale";"temporal_resolution";"redundancy";"biological_organization_level_recorded";"biological_organization_recorded_comments";"biological_organization_level_reported";"biological_organization_reported_comments";"identity_of_biological_organization_unit";"management_plant";"conservation_plant";"conservation_plant_comments";"measured_response_variable";"measured_response_comments";"herbivore_identity";"herbivore_type";"herbivore_type_comments";"herbivory_season";"herbivory_season_comment";"effect_type";"effect_type_comments";"management_herbivore";"management_herbivore_comments";"conservation_herbivore";"conservation_herbivore_comments";"management";"management_area";"conservation_study_area";"conservation_study_area_comment";"distance_to_treeline";"temperature";"temperature_measure";"precipitation";"precipitation_measure";"climate_axis_1";"climate_axis_2";"climate_axis_3";"growing_season";"distance_from_coast";"bioclimatic_zone";"soil_type.";"productivity";"productivity_P";"recent_warming";"recent_greening";"extent_of_recent_growing_season_change";"herbivore_diversity";"habitat_type_P";"habitat_type_C";"disturbance";"disturbance_comment";"permafrost";"food_web_context_other_herbivores";"food_web_context_predators";"conservation_focus";"comment";"coding.person";"coding.checked"
"Johnson, Lara, Shaver, Batzli, Shaw, Tweedie";"Exclusion of brown lemmings reduces vascular plant cover and biomass in Arctic coastal tundra: resampling of a 50+ year herbivore exclosure experiment near Barrow, Alaska";"Environmental Research Letters";"2011";"english";NA;"1182_b";"Alaska";NA;"Barrow";"71.3";"-156.6667";"1959";"2010";"0_10";NA;"experimental";NA;"control-impact";"field";NA;"exclosure";NA;"none";NA;"1x1 km or less";"up to  1x1 m (including 1x1 m)";"up to  1x1 m (including 1x1 m)";"52";"irregular with intervals longer than a year";"partly redundant";"population/species";NA;"groups of species";NA;"litter, lichen, graminoids, forbs, deciduous_shrubs, bryophytes, bare_ground";"not reported";"not reported";NA;"several";"cover, biomass, species richness";"Lemmus_trimucronatus";"small rodents and pikas";NA;"not reported";NA;"not reported";NA;"non-managed";NA;"not relevant";NA;"not reported";"not reported";"not reported";NA;NA;"-12";"annual_mean";"110";"annual_mean";NA;NA;NA;NA;NA;NA;NA;NA;"not reported";NA;NA;NA;NA;"moist_tundra";NA;"not reported";NA;NA;"mentioned";"not reported";"not reported";"near Barrow, Arctic Coastal Plain. Study was coded as quasi-experimental, but I have changed to experimental because they were using a herbivore exlosure experiment; on top of that they look at the effects of lemming outbreak. I have separated into three evidence points because the experiment (exclosures) was done on three habitats which are reported separately in the results. Study site description mentions other herbivores (collared lemmings and caribou)";"Megan Wilcots";"Isabel C Barrio"
"Johnson, Lara, Shaver, Batzli, Shaw, Tweedie";"Exclusion of brown lemmings reduces vascular plant cover and biomass in Arctic coastal tundra: resampling of a 50+ year herbivore exclosure experiment near Barrow, Alaska";"Environmental Research Letters";"2011";"english";NA;"1182_c";"Alaska";NA;"Barrow";"71.3";"-156.6667";"1959";"2010";"0_10";NA;"experimental";NA;"control-impact";"field";NA;"exclosure";NA;"none";NA;"1x1 km or less";"up to  1x1 m (including 1x1 m)";"up to  1x1 m (including 1x1 m)";"52";"irregular with intervals longer than a year";"partly redundant";"population/species";NA;"groups of species";NA;"litter, lichen, graminoids, forbs, deciduous_shrubs, bryophytes, bare_ground";"not reported";"not reported";NA;"several";"cover, biomass, species richness";"Lemmus_trimucronatus";"small rodents and pikas";NA;"not reported";NA;"not reported";NA;"non-managed";NA;"not relevant";NA;"not reported";"not reported";"not reported";NA;NA;"-12";"annual_mean";"110";"annual_mean";NA;NA;NA;NA;NA;NA;NA;NA;"high_productivity_sites";NA;NA;NA;NA;"wet_tundra";NA;"not reported";NA;NA;"mentioned";"not reported";"not reported";"near Barrow, Arctic Coastal Plain. Study was coded as quasi-experimental, but I have changed to experimental because they were using a herbivore exlosure experiment; on top of that they look at the effects of lemming outbreak. I have separated into three evidence points because the experiment (exclosures) was done on three habitats which are reported separately in the results. Study site description mentions other herbivores (collared lemmings and caribou)";"Megan Wilcots";"Isabel C Barrio"
"Kumpula, Stark, Holand";"Seasonal grazing effects by semi-domesticated reindeer on subarctic mountain birch forests";"Polar Biology";"2011";"english";NA;"1187_a";"Finland";NA;"Kaamanen";"69.104385";"27.194578";"2003";"2003";"not reported";NA;"quasi-experimental";NA;"not relevant";"field";NA;"fence";NA;"other";"soil_moisture";"from 10x10 km to 100x100 km";"from  1x1 m to 10x10 m (including 10x10m)";"from  1x1 m to 10x10 m (including 10x10m)";"1";"once";"not redundant";"several";"population/species, groups of species";"several";"population/species, groups of species";"reindeer_lichens, other_cladonia, dwarf_shrubs, bryophytes, litter, bare_ground, Vaccinium_uliginosum, Vaccinium_myrtillus, Vaccinium_vitis-idaea, Empetrum_nigrum, Calluna_vulgaris, Betula_nana, graminoids";"managed grazing";"not reported";NA;"several";"cover, biomass, morphological measure";"Rangifer_tarandus_tarandus";"other vertebrates";NA;"several";"winter, summer";"several";"disturbance, removal of plant parts, fertilizing";"semi-domesticated";NA;"not relevant";NA;"managed herbivore";"historical and current";"common habitat";NA;NA;"not reported";"not reported";"not reported";"not reported";NA;NA;NA;NA;NA;NA;NA;NA;"low_productivity_sites";NA;NA;NA;NA;"mountain_birch_forest";NA;"several";"insect outbreaks (when outbreaks not in focus), pollution, icing/winter damage, increased precipitation";NA;"not reported";"not reported";"mentioned";"Two types of recorded scales (plots): ground vegetation squares at 0.25 cm2 and trees at 50m2 (radius 3.99 m). Regarding extent of study, the fences were constructed more than 20 years ago, so that's the duration of herbivory of this specific kind (winter/summer grazing & density of animals + duration of them on site) that was studied; Regarding other disturbances, the authors recognise that other factors, e.le increased precipitation, moth attacks, freezing and thawing events during winter, long-transported airpollution will have influenced the data gathered. Two area in the very northern tip of Finland: Kaamanen, Muddusjärvi, Sallvaara. The first is a long-term reindeer experimental area, the other two are official reindeer herding districts. Each area was split into reindeer summer and winter range, and with sample sites within each. Across all three study areas, 18 sites were studied in summer ranges (15 normal, 3 drier sites) and 18 sites in winter ranges (14 normal, 4 drier). ICB: Rene had it as one evidence point, because they study three areas but results are not portrayed by area; however, they do include the study area in their models and find differences for some variables depending on study area and discuss them accordingly. Therefore, I have kept separately as different evidence points. For additional exposures it was reported: selection of 'normal' sites and 'drier' sites within each area and treatment combination --> I have recoded this as soil moisture. For exposure quantification it was indicated as enclosure but I have recoded as fence because they looked at summer vs winter pastures separated by fences. For measured response variable it was reported: % cover; lichen mat depth, birch tree density in three size classes; leaf biomass of individual birch trees --> I have reclassified into cover, biomass and morphological measure";"Rene van der Wal";"Isabel C Barrio"
"Kumpula, Stark, Holand";"Seasonal grazing effects by semi-domesticated reindeer on subarctic mountain birch forests";"Polar Biology";"2011";"english";NA;"1187_b";"Finland";NA;"Muddusjärvi";"69.014563";"27.072466";"2003";"2003";"not reported";NA;"quasi-experimental";NA;"not relevant";"field";NA;"fence";NA;"other";"soil_moisture";"from 10x10 km to 100x100 km";"from  1x1 m to 10x10 m (including 10x10m)";"from  1x1 m to 10x10 m (including 10x10m)";"1";"once";"not redundant";"several";"population/species, groups of species";"several";"population/species, groups of species";"reindeer_lichens, other_cladonia, dwarf_shrubs, bryophytes, litter, bare_ground, Vaccinium_uliginosum, Vaccinium_myrtillus, Vaccinium_vitis-idaea, Empetrum_nigrum, Calluna_vulgaris, Betula_nana, graminoids";"managed grazing";"not reported";NA;"several";"cover, biomass, morphological measure";"Rangifer_tarandus_tarandus";"other vertebrates";NA;"several";"winter, summer";"several";"disturbance, removal of plant parts, fertilizing";"semi-domesticated";NA;"not relevant";NA;"managed herbivore";"historical and current";"common habitat";NA;NA;"not reported";"not reported";"not reported";"not reported";NA;NA;NA;NA;NA;NA;NA;NA;"low_productivity_sites";NA;NA;NA;NA;"mountain_birch_forest";NA;"several";"insect outbreaks (when outbreaks not in focus), pollution, icing/winter damage, increased precipitation";NA;"not reported";"not reported";"mentioned";"Two types of recorded scales (plots): ground vegetation squares at 0.25 cm2 and trees at 50m2 (radius 3.99 m). Regarding extent of study, the fences were constructed more than 20 years ago, so that's the duration of herbivory of this specific kind (winter/summer grazing & density of animals + duration of them on site) that was studied; Regarding other disturbances, the authors recognise that other factors, e.le increased precipitation, moth attacks, freezing and thawing events during winter, long-transported airpollution will have influenced the data gathered. Two area in the very northern tip of Finland: Kaamanen, Muddusjärvi, Sallvaara. The first is a long-term reindeer experimental area, the other two are official reindeer herding districts. Each area was split into reindeer summer and winter range, and with sample sites within each. Across all three study areas, 18 sites were studied in summer ranges (15 normal, 3 drier sites) and 18 sites in winter ranges (14 normal, 4 drier). ICB: Rene had it as one evidence point, because they study three areas but results are not portrayed by area; however, they do include the study area in their models and find differences for some variables depending on study area and discuss them accordingly. Therefore, I have kept separately as different evidence points. For additional exposures it was reported: selection of 'normal' sites and 'drier' sites within each area and treatment combination --> I have recoded this as soil moisture. For exposure quantification it was indicated as enclosure but I have recoded as fence because they looked at summer vs winter pastures separated by fences. For measured response variable it was reported: % cover; lichen mat depth, birch tree density in three size classes; leaf biomass of individual birch trees --> I have reclassified into cover, biomass and morphological measure";"Rene van der Wal";"Isabel C Barrio"
"Kumpula, Stark, Holand";"Seasonal grazing effects by semi-domesticated reindeer on subarctic mountain birch forests";"Polar Biology";"2011";"english";NA;"1187_c";"Finland";NA;"Sallivaara";"69.216201";"27.158807";"2003";"2003";"not reported";NA;"quasi-experimental";NA;"not relevant";"field";NA;"fence";NA;"other";"soil_moisture";"from 10x10 km to 100x100 km";"from  1x1 m to 10x10 m (including 10x10m)";"from  1x1 m to 10x10 m (including 10x10m)";"1";"once";"not redundant";"several";"population/species, groups of species";"several";"population/species, groups of species";"reindeer_lichens, other_cladonia, dwarf_shrubs, bryophytes, litter, bare_ground, Vaccinium_uliginosum, Vaccinium_myrtillus, Vaccinium_vitis-idaea, Empetrum_nigrum, Calluna_vulgaris, Betula_nana, graminoids";"managed grazing";"not reported";NA;"several";"cover, biomass, morphological measure";"Rangifer_tarandus_tarandus";"other vertebrates";NA;"several";"winter, summer";"several";"disturbance, removal of plant parts, fertilizing";"semi-domesticated";NA;"not relevant";NA;"managed herbivore";"historical and current";"common habitat";NA;NA;"not reported";"not reported";"not reported";"not reported";NA;NA;NA;NA;NA;NA;NA;NA;"low_productivity_sites";NA;NA;NA;NA;"mountain_birch_forest";NA;"several";"insect outbreaks (when outbreaks not in focus), pollution, icing/winter damage, increased precipitation";NA;"not reported";"not reported";"mentioned";"Two types of recorded scales (plots): ground vegetation squares at 0.25 cm2 and trees at 50m2 (radius 3.99 m). Regarding extent of study, the fences were constructed more than 20 years ago, so that's the duration of herbivory of this specific kind (winter/summer grazing & density of animals + duration of them on site) that was studied; Regarding other disturbances, the authors recognise that other factors, e.le increased precipitation, moth attacks, freezing and thawing events during winter, long-transported airpollution will have influenced the data gathered. Two area in the very northern tip of Finland: Kaamanen, Muddusjärvi, Sallvaara. The first is a long-term reindeer experimental area, the other two are official reindeer herding districts. Each area was split into reindeer summer and winter range, and with sample sites within each. Across all three study areas, 18 sites were studied in summer ranges (15 normal, 3 drier sites) and 18 sites in winter ranges (14 normal, 4 drier). ICB: Rene had it as one evidence point, because they study three areas but results are not portrayed by area; however, they do include the study area in their models and find differences for some variables depending on study area and discuss them accordingly. Therefore, I have kept separately as different evidence points. For additional exposures it was reported: selection of 'normal' sites and 'drier' sites within each area and treatment combination --> I have recoded this as soil moisture. For exposure quantification it was indicated as enclosure but I have recoded as fence because they looked at summer vs winter pastures separated by fences. For measured response variable it was reported: % cover; lichen mat depth, birch tree density in three size classes; leaf biomass of individual birch trees --> I have reclassified into cover, biomass and morphological measure";"Rene van der Wal";"Isabel C Barrio"
"Madsen, Jaspers, Tamsdorf, Mortensen, Riget";"Long-Term Effects of Grazing and Global Warming on the Composition and Carrying Capacity of Graminoid Marshes for Moulting Geese in East Greenland";"Ambio";"2011";"english";NA;"1190_a";"Greenland";NA;"James Land";"70.962505";"-23.910498";"1984";"2008";"not reported";NA;"observational";NA;"not relevant";"field";NA;"herbivore population up";NA;"warming";NA;"from 1x1 km to 10x10 km";"up to  1x1 m (including 1x1 m)";"from  1x1 m to 10x10 m (including 10x10m)";"24";"twice, interval longer than one year";"not redundant";"population/species";NA;"population/species";NA;"moss, Carex_subspathacea, Poa_spp, Eriophorum_scheuzeri, Carex_rariflora";"not reported";"not reported";NA;"several";"cover, biomass, reproduction/recruitment, direct signs of herbivory";"Anser_brachyrhynchus, Branta_leucopsis";"waterfowl";NA;"summer";NA;"removal of plant parts";NA;"not reported";NA;"not reported";NA;"managed herbivore";"current";"not reported";NA;NA;"not reported";"not reported";"not reported";"not reported";NA;NA;NA;NA;NA;NA;NA;NA;"not reported";NA;NA;NA;NA;"dwarf_scrub, graminoid_marsh";NA;"not reported";NA;NA;"not reported";"not reported";"not reported";"James Land, in an area around the river Draba Sibirica Elv at Heden. Additional exposures: warming -- not as a controlled factor but as a backdrop. Habitat type: Marsh (Carex subspathacea-moss; Carex stans-poa pratensis). Productivity not described as such, but shown that productivity measures had increased substantially. Temperature sum figures (one per year) provided for the years 1980-2009 (but no value reported as general description of the study site). pinkfooted goose no concern; barnacle goose - subject to AEWA https://en.wikipedia.org/wiki/Agreement_on_the_Conservation_of_African-Eurasian_Migratory_Waterbirds (but this is not mentioned in the paper, so I have changed to not reported. Both species of goose from this flyway are hunted, though the barnacle goose is protecting when in Scotland or Ireland in winter --> this is not reported in the paper, so I have changed to not reported. Herbivory_season changed to summer (Mostly during moult (ie. end of June - 1 Aug) but increasingly also feeding by breeding birds (spring/summer)): Measured_response: cover, vegetation biomass, for one species Eriophorum scheuzeri flowering occurrence, and % of graminoid leaves grazed";"Rene van der Wal";"Isabel C Barrio"
"Ravolainen, Brathen, Ims, Yoccoz, Henden, Killengreen";"Rapid, landscape scale responses in riparian tundra vegetation to exclusion of small and large mammalian herbivores";"Basic and Applied Ecology";"2011";"english";NA;"1203_a";"Norway";NA;"Vestre Jakobselv";"70.339066";"29.17325";"2006";"2008";"110_290";NA;"experimental";NA;"control-impact";"field";NA;"exclosure";NA;"none";NA;"from 10x10 km to 100x100 km";"up to  1x1 m (including 1x1 m)";"larger than 1000x1000 m";"3";"annual";"not redundant";"population/species";NA;"several";"groups of species, community";"forbs, vascular_cryptogams, deciduous_shrubs, grasses, sedges, silica_rich_grasses, mosses";"not reported";"not reported";NA;"several";"biomass, diversity";"Rangifer_tarandus, Myodes_rufocanus, Microtus_oeconomus, Lemmus_lemmus";"several";"small rodents and pikas, other vertebrates";"year-round";NA;"removal of plant parts";NA;"several";"reindeer: semi-domesticated, small rodents: non-managed";"no concern";NA;"managed herbivore";"not reported";"not reported";NA;NA;"not reported";"not reported";"not reported";"not reported";NA;NA;NA;NA;NA;NA;NA;NA;"high_productive_sites";NA;NA;NA;NA;"sediment_plains";NA;"flooding";NA;NA;"not reported";"not reported";"not reported";"I have separated into two evidence points because the study was conducted in two river catchments that are reported separately. Coordinates extracted from map. forbs (e.g. Trollius europaeus, Bistorta vivipara, Geranium sylvaticum, Cerastium species, Viola species), vascular cryptogams (mainly Equisetum spp.), deciduous shrubs (mainly ramets of Salix spp. still part of the field layer, only small amounts of Betula nana), grasses (e.g. Anthoxanthum odoratum, Avenella flexuosa, Poa species, Calamagrostis species, Festuca species), sedges (e.g. Carex bigelowii, Carex aquatilis coll., Juncus filiformis), silica-rich grasses (mainly Deschampsia cespitosa, minor amounts of Nardus stricta), and mosses (all combined). The riparian [sediment] plains of the river catchments are constituted by a mosaic of two main vegetation types; a herbaceous field layer dominated by a variety of growth forms and woody patches of tall shrubs with distinct edges to the bordering herbaceous vegetation. Herbivore season: reindeer: summer; small rodents: year-round --> recoded to year-round";"Marcus Spiegel";"Isabel C Barrio"
"Ravolainen, Brathen, Ims, Yoccoz, Henden, Killengreen";"Rapid, landscape scale responses in riparian tundra vegetation to exclusion of small and large mammalian herbivores";"Basic and Applied Ecology";"2011";"english";NA;"1203_b";"Norway";NA;"Komagdalen";"70.297902";"30.097474";"2006";"2008";"110_290";NA;"experimental";NA;"control-impact";"field";NA;"exclosure";NA;"none";NA;"from 10x10 km to 100x100 km";"up to  1x1 m (including 1x1 m)";"larger than 1000x1000 m";"3";"annual";"not redundant";"population/species";NA;"several";"groups of species, community";"forbs, vascular_cryptogams, deciduous_shrubs, grasses, sedges, silica_rich_grasses, mosses";"not reported";"not reported";NA;"several";"biomass, diversity";"Rangifer_tarandus, Myodes_rufocanus, Microtus_oeconomus, Lemmus_lemmus";"several";"small rodents and pikas, other vertebrates";"year-round";NA;"removal of plant parts";NA;"several";"reindeer: semi-domesticated, small rodents: non-managed";"no concern";NA;"managed herbivore";"not reported";"not reported";NA;NA;"not reported";"not reported";"not reported";"not reported";NA;NA;NA;NA;NA;NA;NA;NA;"high_productive_sites";NA;NA;NA;NA;"sediment_plains";NA;"flooding";NA;NA;"not reported";"not reported";"not reported";"I have separated into two evidence points because the study was conducted in two river catchments that are reported separately. Coordinates extracted from map. forbs (e.g. Trollius europaeus, Bistorta vivipara, Geranium sylvaticum, Cerastium species, Viola species), vascular cryptogams (mainly Equisetum spp.), deciduous shrubs (mainly ramets of Salix spp. still part of the field layer, only small amounts of Betula nana), grasses (e.g. Anthoxanthum odoratum, Avenella flexuosa, Poa species, Calamagrostis species, Festuca species), sedges (e.g. Carex bigelowii, Carex aquatilis coll., Juncus filiformis), silica-rich grasses (mainly Deschampsia cespitosa, minor amounts of Nardus stricta), and mosses (all combined). The riparian [sediment] plains of the river catchments are constituted by a mosaic of two main vegetation types; a herbaceous field layer dominated by a variety of growth forms and woody patches of tall shrubs with distinct edges to the bordering herbaceous vegetation. Herbivore season: reindeer: summer; small rodents: year-round --> recoded to year-round";"Marcus Spiegel";"Isabel C Barrio"
"Sjogersten, van der Wal, Loonen, Woodin";"Recovery of ecosystem carbon fluxes and storage from herbivory";"Biogeochemistry";"2011";"english";NA;"1212_a";"Svalbard/Jan Mayen";NA;"Solvatnet";"78.91666667";"11.93333333";"1998";"2007";"not reported";NA;"experimental";NA;"control-impact";"field";NA;"exclosure";NA;"none";NA;"1x1 km or less";"up to  1x1 m (including 1x1 m)";"from 10x10 m to 100x100 m (including 100x100 m)";"1";"once";"not redundant";"groups of species";NA;"groups of species";NA;"green_moss, brown_moss, grasses, herbs, vascular_litter, equisetum, shrubs, roots";"not reported";"not reported";NA;"several";"biomass, physiological response, productivity";"Branta_leucopsis";"waterfowl";NA;"summer";NA;"not reported";NA;"non-managed";NA;"no concern";NA;"not reported";"not reported";"not reported";NA;NA;"-6.3, -14.7, 4.7";"annual_mean, coldest_month_mean, warmest_month_mean";"370";"annual_mean";NA;NA;NA;NA;NA;NA;NA;NA;"not reported";NA;NA;NA;NA;"wet_moss_meadow";NA;"other herbivory";"grubbing by pink-footed geese";NA;"not reported";"not reported";"not reported";"Exclosures measured 0.7x0.7m Solvatnet but 2x2m at Thiisbukta (spatial_resolution_recorded). ICB: I have separated into two evidence points because exclosures were of different ages (and sizes). Also results are reported separately for the two sites.";"Marcus Spiegel";"Isabel C Barrio"
"Sjogersten, van der Wal, Loonen, Woodin";"Recovery of ecosystem carbon fluxes and storage from herbivory";"Biogeochemistry";"2011";"english";NA;"1212_b";"Svalbard/Jan Mayen";NA;"Thiisbukta";"78.91666667";"11.93333333";"2003";"2007";"not reported";NA;"experimental";NA;"control-impact";"field";NA;"exclosure";NA;"none";NA;"1x1 km or less";"from  1x1 m to 10x10 m (including 10x10m)";"from 10x10 m to 100x100 m (including 100x100 m)";"1";"once";"not redundant";"groups of species";NA;"groups of species";NA;"green_moss, brown_moss, grasses, herbs, vascular_litter, equisetum, shrubs, roots";"not reported";"not reported";NA;"several";"biomass, physiological response, productivity";"Branta_leucopsis";"waterfowl";NA;"summer";NA;"not reported";NA;"non-managed";NA;"no concern";NA;"not reported";"not reported";"not reported";NA;NA;"-6.3, -14.7, 4.7";"annual_mean, coldest_month_mean, warmest_month_mean";"370";"annual_mean";NA;NA;NA;NA;NA;NA;NA;NA;"not reported";NA;NA;NA;NA;"wet_moss_meadow";NA;"other herbivory";"grubbing by pink-footed geese";NA;"not reported";"not reported";"not reported";"Exclosures measured 0.7x0.7m Solvatnet but 2x2m at Thiisbukta (spatial_resolution_recorded). ICB: I have separated into two evidence points because exclosures were of different ages (and sizes). Also results are reported separately for the two sites.";"Marcus Spiegel";"Isabel C Barrio"
"Van Bogaert, Haneca, Hoogesteger, Jonasson, De Dapper, Callaghan,";"A century of tree line changes in sub-Arctic Sweden shows local and regional variability and only a minor influence of 20th century climate warming";"Journal of Biogeography";"2011";"english";NA;"1223_a";"Sweden";NA;"Torneträsk";"68.41666667";"19";"1912";"2009";"700";NA;"quasi-experimental";NA;"before-after";"remote sensing";NA;"several";"herbivore population up/down, outbreak, spatial contrast/gradient";"not relevant";NA;"from 10x10 km to 100x100 km";"up to  1x1 m (including 1x1 m)";"from 100x100 m to 1000x1000 m (including 1000x1000m)";"98";"irregular with intervals longer than a year";"not redundant";"population/species";NA;"population/species";NA;"Betula_pubescens_czerepanovii";"not reported";"not reported";NA;"other abundance measure";"elevation shift of tree line";"Rangifer_tarandus, Operophtera_brumata, Epirrita_autumnata";"several";"other vertebrates, defoliating invertebrates";"not reported";NA;"several";"removal of plant parts, disturbance";"several";"semi-domesticated, non-managed";"no concern";NA;"managed herbivore";"not reported";"not reported";NA;NA;"-1";"annual_mean";"310";"annual_mean";NA;NA;NA;NA;NA;NA;NA;NA;"not reported";NA;NA;NA;NA;"mountain_birch_forest";NA;"several";"human-infrastructure, geomorphological issues, icing/winter damage";NA;"not reported";"not reported";"not reported";"elevation is the estimated position of the alpine tree line (which is the focus of the study); the design is before-after as changes in herbivory are considered in time, but they are also considered in space in terms of distance of sites to traditional reindeer herder camps; not sure about spatial resolution: for recorded, I went with the image resolution and for reported, I went with the mountain/landscape scale. Location: Torneträsk area, located at the eastern fringe of the Scandes Mountains in sub-Arctic Sweden";"Marcus Spiegel";"Isabel C Barrio"
"Van Bogaert, Haneca, Hoogesteger, Jonasson, De Dapper, Callaghan,";"A century of tree line changes in sub-Arctic Sweden shows local and regional variability and only a minor influence of 20th century climate warming";"Journal of Biogeography";"2011";"english";NA;"1223_b";"Sweden";NA;"Torneträsk";"68.41666667";"19";"2006";"2006";"700";NA;"quasi-experimental";NA;"before-after";"field";NA;"several";"herbivore population up/down, outbreak, spatial contrast/gradient";"not relevant";NA;"from 10x10 km to 100x100 km";"from  1x1 m to 10x10 m (including 10x10m)";"from 100x100 m to 1000x1000 m (including 1000x1000m)";"1";"once";"not redundant";"individual";NA;"population/species";NA;"Betula_pubescens_czerepanovii";"not reported";"not reported";NA;"several";"direct signs of herbivory, morphological measure";"Rangifer_tarandus, Operophtera_brumata, Epirrita_autumnata";"several";"other vertebrates, defoliating invertebrates";"not reported";NA;"several";"removal of platnt parts, disturbance";"several";"semi-domesticated, non-managed";"no concern";NA;"managed herbivore";"not reported";"not reported";NA;NA;"-1";"annual_mean";"310";"annual_mean";NA;NA;NA;NA;NA;NA;NA;NA;"not reported";NA;NA;NA;NA;"mountain_birch_forest";NA;"several";"human-infrastructure, geomorphological issues, icing/winter damage";NA;"not reported";"not reported";"not reported";"elevation is the estimated position of the alpine tree line (which is the focus of the study); the design is before-after as changes in herbivory are considered in time, but they are also considered in space in terms of distance of sites to traditional reindeer herder camps; the plot size was 10x10 m along one set of transects, but random sampling over a 500 m width in the other set of transects; transects grouped into upper, middle, and lower for spatial_resolution_reported. Location: Torneträsk area, located at the eastern fringe of the Scandes Mountains in sub-Arctic Sweden. Measured response: direct signs of herbivory, tree height, stem diameter at breast height, growth form (mono- or polycormic), dendrochronological analysis (which informed the year of establishment, used to match temporally with herbivory numbers/outbreaks) --> summarized to direct signs of herbivory, and morphological measure";"Marcus Spiegel";"Isabel C Barrio"
"Wheeler, Hermanutz, Marino";"Feathermoss seedbeds facilitate black spruce seedling recruitment in the forest-tundra ecotone (Labrador, Canada)";"Oikos";"2011";"english";NA;"1229_a";"Canada";NA;"Mealy Mountains";"53.435";"-58.816667";"2007";"2008";"600";NA;"experimental";NA;"control-impact";"field";NA;"exclosure";NA;"other";"seedbed (bare soil vs. Cladonia vs. Pleurozium)";"1x1 km or less";"up to  1x1 m (including 1x1 m)";"from 10x10 m to 100x100 m (including 100x100 m)";"2";"irregular with intervals shorter than a year";"not redundant";"individual";NA;"population/species";NA;"black spruce (Picea mariana)";"not reported";"not reported";NA;"several";"reproduction/recruitment, survival/mortality, direct signs of herbivory, morphological measure";"Deroceras_laeve";"defoliating invertebrates";NA;"not reported";NA;"removal of plant parts";NA;"non-managed";NA;"not relevant";NA;"not reported";"not reported";"protected area";NA;NA;"13.2, -15.4";"warmest_month_mean, coldest_month_mean";"2500";"annual_mean";NA;NA;NA;NA;NA;NA;NA;NA;"not reported";NA;NA;NA;NA;"forest_tundra_ecotone";NA;"several";"icing/winter damage, other herbivory (seed predation by carabid beetles), other (digging by black bear)";NA;"documented by referring to another study";"not reported";"not reported";"Not sure what class of invertebrates slugs fall into; the study lasted from 2007-2009, but in the seedling experiment over this time, the seedlings only exhibited vulnerability in 2007, whereas the seed predation experiment with seed cards was only in 2008, thus I chose the year end as 2008; not sure how to classify the national park in terms of management and conservation; for food_web_context_other_herbivores, carabid beetles were mentioned with a reference to another study and black bears were mentioned (as I listed under disturbances), I wasn't sure if black bears should also be included as predators. Location: the Mealy Mountains (Labrador, Canada) study area falls within the boundaries of the Mealy Mountains/Akamiuapishk National Park Reserve. Measured_responses: reproduction/recruitment (seed emergence), survival/mortality, direct signs of herbivory, morphological measure (plant height)  ICB: herbivore type = defoliating invertebrates. exposure_quantification changed to exclosure (they were using slug pellets (pesticide) to remove slugs, so it is a kind of exclosure. Description of habitat: above the discontinuous boundary of open canopy forest in the forest – tundra transition zone; The dominant conifer is black spruce with white spruce Picea glauca , balsam fir Abies balsamea and eastern larch Larix laricina present at lower abundance (R. Jameson pers. comm.). The shrub layer is dominated by arctic dwarf birch Betula glandulosa , bilberry Vaccinium uliginosum and black crowberry Empetrum nigrum (Cranston 2009). The groundcover is dominated by the feathermosses Pleurozium schreberi and Hylocomium splendens in shaded, partially shaded, and suitably moist open areas (e.g. areas of higher snow capture peripheral to shrub stands) , by Sphagnum in wetter areas and by the lichens Cladonia stellaris and C. arbuscula, in open, non-shaded areas";"Marcus Spiegel";"Isabel C Barrio"
