"","author_list","title","journal","year","language","language_comments","evidence_point_ID","country","country_comments","locality","coordinates_N","coordinates_E","year_start","year_end","elevation","elevation_DEM","study_design","study_design_comments","experimental_design","study_method","study_method_comments","exposure_quantification","exposure_quantification_comments","additional_exposures","additional_treatments_comments","extent_of_spatial_scale","spatial_resolution_recorded","spatial_resolution_reported","extent_of_temporal_scale","temporal_resolution","redundancy","biological_organization_level_recorded","biological_organization_recorded_comments","biological_organization_level_reported","biological_organization_reported_comments","identity_of_biological_organization_unit","management_plant","conservation_plant","conservation_plant_comments","measured_response_variable","measured_response_comments","herbivore_identity","herbivore_type","herbivore_type_comments","herbivory_season","herbivory_season_comment","effect_type","effect_type_comments","management_herbivore","management_herbivore_comments","conservation_herbivore","conservation_herbivore_comments","management","management_area","conservation_study_area","conservation_study_area_comment","distance_to_treeline","temperature","temperature_measure","precipitation","precipitation_measure","climate_axis_1","climate_axis_2","climate_axis_3","growing_season","distance_from_coast","bioclimatic_zone","soil_type.","productivity","productivity_P","recent_warming","recent_greening","extent_of_recent_growing_season_change","herbivore_diversity","habitat_type_P","habitat_type_C","disturbance","disturbance_comment","permafrost","food_web_context_other_herbivores","food_web_context_predators","conservation_focus","comment","coding.person","coding.checked"
"1700...170","Lindgren, Klint, Moen","Defense mechanisms against grazing: a study of trypsin inhibitor responses to simulated grazing in the sedge Carex bigelowii","Oikos",2007,"english",NA,"1700_c","Sweden",NA,"Björkfjället",66.032023,16.547266,"2003","2003","800_1100",NA,"experimental",NA,"control-impact","field",NA,"simulated herbivory",NA,"none",NA,"not reported","up to  1x1 m (including 1x1 m)","up to  1x1 m (including 1x1 m)","1","regular with intervals shorter than a year","not redundant","individual",NA,"population/species",NA,"Carex_bigelowii","not reported","not reported",NA,"physiological response",NA,"not reported","unknown",NA,"not reported",NA,"removal of plant parts",NA,"not relevant",NA,"not relevant",NA,"not reported","not reported","not reported",NA,NA,"not reported","not reported","not reported","not reported",NA,NA,NA,NA,NA,NA,NA,NA,"high_productivity_sites",NA,NA,NA,NA,"marsh",NA,"not reported",NA,NA,"mentioned","not reported","not reported","one site, but three evindence points (different habitats where the experiment was conducted, each habitat is reported separately). Simulated herbivory by clipping at different intensities. Productivity: high (800-900 g/m2/yr)","Isabel C Barrio","Isabel C Barrio"
"1752...178","Löffler","Reindeer grazing changes diversity patterns in Arctic-Alpine landscapes of northern Norway","Erde",2007,"english",NA,"1752_a","Norway",NA,"Kaperfjellet",69.283333,17.35,"not reported","not reported","not reported",NA,"observational",NA,"not relevant","field",NA,"spatial contrast/gradient",NA,"none",NA,"from 100x100 km to 1000x1000 km","up to  1x1 m (including 1x1 m)","up to  1x1 m (including 1x1 m)","not reported","once","redundant","population/species",NA,"population/species",NA,"not relevant","not reported","not reported",NA,"diversity",NA,"Rangifer_tarandus","other vertebrates",NA,"not reported",NA,"not reported",NA,"not reported",NA,"no concern",NA,"not reported","not reported","not reported",NA,NA,"not reported","not reported","not reported","not reported",NA,NA,NA,NA,NA,NA,NA,NA,"not reported",NA,NA,NA,NA,"alpine_tundra",NA,"not reported",NA,NA,"not reported","not reported","not reported","Coded as redundant, as the study is using a spatial subset of study ID 1587. Originally coded as a single evidence point because all sites were recorded together, but it is 10 different sites with slightly different conditions (e.g. soil properties), so I separate into 10 evidence points.","Isabel C Barrio","Isabel C Barrio"
"1752...179","Löffler","Reindeer grazing changes diversity patterns in Arctic-Alpine landscapes of northern Norway","Erde",2007,"english",NA,"1752_b","Norway",NA,"Reindalen-Storfjellet",70.683333,23.65,"not reported","not reported","not reported",NA,"observational",NA,"not relevant","field",NA,"spatial contrast/gradient",NA,"none",NA,"from 100x100 km to 1000x1000 km","up to  1x1 m (including 1x1 m)","up to  1x1 m (including 1x1 m)","not reported","once","redundant","population/species",NA,"population/species",NA,"not relevant","not reported","not reported",NA,"diversity",NA,"Rangifer_tarandus","other vertebrates",NA,"not reported",NA,"not reported",NA,"not reported",NA,"no concern",NA,"not reported","not reported","not reported",NA,NA,"not reported","not reported","not reported","not reported",NA,NA,NA,NA,NA,NA,NA,NA,"not reported",NA,NA,NA,NA,"alpine_tundra",NA,"not reported",NA,NA,"not reported","not reported","not reported","Coded as redundant, as the study is using a spatial subset of study ID 1587. Originally coded as a single evidence point because all sites were recorded together, but it is 10 different sites with slightly different conditions (e.g. soil properties), so I separate into 10 evidence points.","Isabel C Barrio","Isabel C Barrio"
"1752...180","Löffler","Reindeer grazing changes diversity patterns in Arctic-Alpine landscapes of northern Norway","Erde",2007,"english",NA,"1752_c","Norway",NA,"Finkonsfjellet",70.833333,24.65,"not reported","not reported","not reported",NA,"observational",NA,"not relevant","field",NA,"spatial contrast/gradient",NA,"none",NA,"from 100x100 km to 1000x1000 km","up to  1x1 m (including 1x1 m)","up to  1x1 m (including 1x1 m)","not reported","once","redundant","population/species",NA,"population/species",NA,"not relevant","not reported","not reported",NA,"diversity",NA,"Rangifer_tarandus","other vertebrates",NA,"not reported",NA,"not reported",NA,"not reported",NA,"no concern",NA,"not reported","not reported","not reported",NA,NA,"not reported","not reported","not reported","not reported",NA,NA,NA,NA,NA,NA,NA,NA,"not reported",NA,NA,NA,NA,"alpine_tundra",NA,"not reported",NA,NA,"not reported","not reported","not reported","Coded as redundant, as the study is using a spatial subset of study ID 1587. Originally coded as a single evidence point because all sites were recorded together, but it is 10 different sites with slightly different conditions (e.g. soil properties), so I separate into 10 evidence points.","Isabel C Barrio","Isabel C Barrio"
"1752...181","Löffler","Reindeer grazing changes diversity patterns in Arctic-Alpine landscapes of northern Norway","Erde",2007,"english",NA,"1752_d","Norway",NA,"Kjøllefjord",70.95,27.383333,"not reported","not reported","not reported",NA,"observational",NA,"not relevant","field",NA,"spatial contrast/gradient",NA,"none",NA,"from 100x100 km to 1000x1000 km","up to  1x1 m (including 1x1 m)","up to  1x1 m (including 1x1 m)","not reported","once","redundant","population/species",NA,"population/species",NA,"not relevant","not reported","not reported",NA,"diversity",NA,"Rangifer_tarandus","other vertebrates",NA,"not reported",NA,"not reported",NA,"not reported",NA,"no concern",NA,"not reported","not reported","not reported",NA,NA,"not reported","not reported","not reported","not reported",NA,NA,NA,NA,NA,NA,NA,NA,"not reported",NA,NA,NA,NA,"alpine_tundra",NA,"not reported",NA,NA,"not reported","not reported","not reported","Coded as redundant, as the study is using a spatial subset of study ID 1587. Originally coded as a single evidence point because all sites were recorded together, but it is 10 different sites with slightly different conditions (e.g. soil properties), so I separate into 10 evidence points.","Isabel C Barrio","Isabel C Barrio"
"1752...182","Löffler","Reindeer grazing changes diversity patterns in Arctic-Alpine landscapes of northern Norway","Erde",2007,"english",NA,"1752_e","Norway",NA,"Adamsfjord",70.4,26.7,"not reported","not reported","not reported",NA,"observational",NA,"not relevant","field",NA,"spatial contrast/gradient",NA,"none",NA,"from 100x100 km to 1000x1000 km","up to  1x1 m (including 1x1 m)","up to  1x1 m (including 1x1 m)","not reported","once","redundant","population/species",NA,"population/species",NA,"not relevant","not reported","not reported",NA,"diversity",NA,"Rangifer_tarandus","other vertebrates",NA,"not reported",NA,"not reported",NA,"not reported",NA,"no concern",NA,"not reported","not reported","not reported",NA,NA,"not reported","not reported","not reported","not reported",NA,NA,NA,NA,NA,NA,NA,NA,"not reported",NA,NA,NA,NA,"alpine_tundra",NA,"not reported",NA,NA,"not reported","not reported","not reported","Coded as redundant, as the study is using a spatial subset of study ID 1587. Originally coded as a single evidence point because all sites were recorded together, but it is 10 different sites with slightly different conditions (e.g. soil properties), so I separate into 10 evidence points.","Isabel C Barrio","Isabel C Barrio"
"1752...183","Löffler","Reindeer grazing changes diversity patterns in Arctic-Alpine landscapes of northern Norway","Erde",2007,"english",NA,"1752_f","Norway",NA,"Ifjordfjellet",70.45,27.4,"not reported","not reported","not reported",NA,"observational",NA,"not relevant","field",NA,"spatial contrast/gradient",NA,"none",NA,"from 100x100 km to 1000x1000 km","up to  1x1 m (including 1x1 m)","up to  1x1 m (including 1x1 m)","not reported","once","redundant","population/species",NA,"population/species",NA,"not relevant","not reported","not reported",NA,"diversity",NA,"Rangifer_tarandus","other vertebrates",NA,"not reported",NA,"not reported",NA,"not reported",NA,"no concern",NA,"not reported","not reported","not reported",NA,NA,"not reported","not reported","not reported","not reported",NA,NA,NA,NA,NA,NA,NA,NA,"not reported",NA,NA,NA,NA,"alpine_tundra",NA,"not reported",NA,NA,"not reported","not reported","not reported","Coded as redundant, as the study is using a spatial subset of study ID 1587. Originally coded as a single evidence point because all sites were recorded together, but it is 10 different sites with slightly different conditions (e.g. soil properties), so I separate into 10 evidence points.","Isabel C Barrio","Isabel C Barrio"
"1752...184","Löffler","Reindeer grazing changes diversity patterns in Arctic-Alpine landscapes of northern Norway","Erde",2007,"english",NA,"1752_g","Norway",NA,"Kongsfjord",70.516667,29.2,"not reported","not reported","not reported",NA,"observational",NA,"not relevant","field",NA,"spatial contrast/gradient",NA,"none",NA,"from 100x100 km to 1000x1000 km","up to  1x1 m (including 1x1 m)","up to  1x1 m (including 1x1 m)","not reported","once","redundant","population/species",NA,"population/species",NA,"not relevant","not reported","not reported",NA,"diversity",NA,"Rangifer_tarandus","other vertebrates",NA,"not reported",NA,"not reported",NA,"not reported",NA,"no concern",NA,"not reported","not reported","not reported",NA,NA,"not reported","not reported","not reported","not reported",NA,NA,NA,NA,NA,NA,NA,NA,"not reported",NA,NA,NA,NA,"alpine_tundra",NA,"not reported",NA,NA,"not reported","not reported","not reported","Coded as redundant, as the study is using a spatial subset of study ID 1587. Originally coded as a single evidence point because all sites were recorded together, but it is 10 different sites with slightly different conditions (e.g. soil properties), so I separate into 10 evidence points.","Isabel C Barrio","Isabel C Barrio"
"1752...185","Löffler","Reindeer grazing changes diversity patterns in Arctic-Alpine landscapes of northern Norway","Erde",2007,"english",NA,"1752_h","Norway",NA,"Båtsfjord",70.65,29.683333,"not reported","not reported","not reported",NA,"observational",NA,"not relevant","field",NA,"spatial contrast/gradient",NA,"none",NA,"from 100x100 km to 1000x1000 km","up to  1x1 m (including 1x1 m)","up to  1x1 m (including 1x1 m)","not reported","once","redundant","population/species",NA,"population/species",NA,"not relevant","not reported","not reported",NA,"diversity",NA,"Rangifer_tarandus","other vertebrates",NA,"not reported",NA,"not reported",NA,"not reported",NA,"no concern",NA,"not reported","not reported","not reported",NA,NA,"not reported","not reported","not reported","not reported",NA,NA,NA,NA,NA,NA,NA,NA,"not reported",NA,NA,NA,NA,"alpine_tundra",NA,"not reported",NA,NA,"not reported","not reported","not reported","Coded as redundant, as the study is using a spatial subset of study ID 1587. Originally coded as a single evidence point because all sites were recorded together, but it is 10 different sites with slightly different conditions (e.g. soil properties), so I separate into 10 evidence points.","Isabel C Barrio","Isabel C Barrio"
"1752...186","Löffler","Reindeer grazing changes diversity patterns in Arctic-Alpine landscapes of northern Norway","Erde",2007,"english",NA,"1752_i","Norway",NA,"Kåfordfjellet",69.35,21.116667,"not reported","not reported","not reported",NA,"observational",NA,"not relevant","field",NA,"spatial contrast/gradient",NA,"none",NA,"from 100x100 km to 1000x1000 km","up to  1x1 m (including 1x1 m)","up to  1x1 m (including 1x1 m)","not reported","once","redundant","population/species",NA,"population/species",NA,"not relevant","not reported","not reported",NA,"diversity",NA,"Rangifer_tarandus","other vertebrates",NA,"not reported",NA,"not reported",NA,"not reported",NA,"no concern",NA,"not reported","not reported","not reported",NA,NA,"not reported","not reported","not reported","not reported",NA,NA,NA,NA,NA,NA,NA,NA,"not reported",NA,NA,NA,NA,"alpine_tundra",NA,"not reported",NA,NA,"not reported","not reported","not reported","Coded as redundant, as the study is using a spatial subset of study ID 1587. Originally coded as a single evidence point because all sites were recorded together, but it is 10 different sites with slightly different conditions (e.g. soil properties), so I separate into 10 evidence points.","Isabel C Barrio","Isabel C Barrio"
"1752...187","Löffler","Reindeer grazing changes diversity patterns in Arctic-Alpine landscapes of northern Norway","Erde",2007,"english",NA,"1752_j","Norway",NA,"Kautokeino",69.3,22.516667,"not reported","not reported","not reported",NA,"observational",NA,"not relevant","field",NA,"spatial contrast/gradient",NA,"none",NA,"from 100x100 km to 1000x1000 km","up to  1x1 m (including 1x1 m)","up to  1x1 m (including 1x1 m)","not reported","once","redundant","population/species",NA,"population/species",NA,"not relevant","not reported","not reported",NA,"diversity",NA,"Rangifer_tarandus","other vertebrates",NA,"not reported",NA,"not reported",NA,"not reported",NA,"no concern",NA,"not reported","not reported","not reported",NA,NA,"not reported","not reported","not reported","not reported",NA,NA,NA,NA,NA,NA,NA,NA,"not reported",NA,NA,NA,NA,"alpine_tundra",NA,"not reported",NA,NA,"not reported","not reported","not reported","Coded as redundant, as the study is using a spatial subset of study ID 1587. Originally coded as a single evidence point because all sites were recorded together, but it is 10 different sites with slightly different conditions (e.g. soil properties), so I separate into 10 evidence points.","Isabel C Barrio","Isabel C Barrio"
